locus_tag	ftype	length_bp	gene	EC_number	COG	product
BIJEODOL_00001	CDS	1179	dnaN		COG0592	Beta sliding clamp
BIJEODOL_00002	CDS	1365	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BIJEODOL_00003	CDS	696				hypothetical protein
BIJEODOL_00004	CDS	1044	nudC_1	3.6.1.22		NADH pyrophosphatase
BIJEODOL_00005	CDS	729				hypothetical protein
BIJEODOL_00006	CDS	684				hypothetical protein
BIJEODOL_00007	CDS	804	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
BIJEODOL_00008	CDS	1041				hypothetical protein
BIJEODOL_00009	CDS	1359				hypothetical protein
BIJEODOL_00010	CDS	1185			COG3385	IS4 family transposase ISDra7
BIJEODOL_00011	CDS	882	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
BIJEODOL_00012	CDS	867	spo0C		COG1475	Chromosome-partitioning protein Spo0J
BIJEODOL_00013	CDS	750	soj_1	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
BIJEODOL_00014	CDS	762	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
BIJEODOL_00015	CDS	330				hypothetical protein
BIJEODOL_00016	CDS	741	sir2	2.3.1.286	COG0846	NAD-dependent protein deacylase Sir2
BIJEODOL_00017	CDS	411				hypothetical protein
BIJEODOL_00018	CDS	603				hypothetical protein
BIJEODOL_00019	CDS	882				hypothetical protein
BIJEODOL_00020	CDS	1386	rnr_1	3.1.13.1		Ribonuclease R
BIJEODOL_00021	CDS	267				hypothetical protein
BIJEODOL_00022	CDS	417				hypothetical protein
BIJEODOL_00023	tRNA	76				tRNA-Phe(gaa)
BIJEODOL_00024	tRNA	76				tRNA-Asp(gtc)
BIJEODOL_00025	CDS	486	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
BIJEODOL_00026	CDS	1113	purK_1	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
BIJEODOL_00027	CDS	1200				hypothetical protein
BIJEODOL_00028	CDS	810	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BIJEODOL_00029	CDS	1803	mnmG_1			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
BIJEODOL_00030	CDS	1599	sufS	4.4.1.16		Cysteine desulfurase
BIJEODOL_00031	CDS	1107		1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
BIJEODOL_00032	CDS	1035		1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
BIJEODOL_00033	CDS	243				hypothetical protein
BIJEODOL_00034	CDS	1578	pdhC	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
BIJEODOL_00035	CDS	390	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
BIJEODOL_00036	CDS	330				hypothetical protein
BIJEODOL_00037	CDS	1218	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
BIJEODOL_00038	CDS	579	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
BIJEODOL_00039	CDS	570				hypothetical protein
BIJEODOL_00040	CDS	1227	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
BIJEODOL_00041	CDS	1119				hypothetical protein
BIJEODOL_00042	CDS	318				hypothetical protein
BIJEODOL_00043	CDS	597				hypothetical protein
BIJEODOL_00044	CDS	774				hypothetical protein
BIJEODOL_00045	tRNA	76				tRNA-Lys(ctt)
BIJEODOL_00046	CDS	786				hypothetical protein
BIJEODOL_00047	CDS	1110	menC_1	4.2.1.113	COG4948	o-succinylbenzoate synthase
BIJEODOL_00048	CDS	579				hypothetical protein
BIJEODOL_00049	CDS	582				hypothetical protein
BIJEODOL_00050	CDS	198				hypothetical protein
BIJEODOL_00051	CDS	765				hypothetical protein
BIJEODOL_00052	CDS	1227	rlmI_1	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
BIJEODOL_00053	CDS	522				hypothetical protein
BIJEODOL_00054	CDS	237				hypothetical protein
BIJEODOL_00055	CDS	756				hypothetical protein
BIJEODOL_00056	CDS	495				hypothetical protein
BIJEODOL_00057	CDS	336				hypothetical protein
BIJEODOL_00058	CDS	951	pafB		COG2378	Protein PafB
BIJEODOL_00059	CDS	1224	ydcO_1		COG3135	Inner membrane protein YdcO
BIJEODOL_00060	CDS	255				hypothetical protein
BIJEODOL_00061	CDS	1776	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
BIJEODOL_00062	CDS	429				hypothetical protein
BIJEODOL_00063	CDS	1449				hypothetical protein
BIJEODOL_00064	tRNA	74				tRNA-Gln(ttg)
BIJEODOL_00065	CDS	987	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BIJEODOL_00066	CDS	882				hypothetical protein
BIJEODOL_00067	CDS	1191	mqnC	1.21.98.1	COG1060	Cyclic dehypoxanthine futalosine synthase
BIJEODOL_00068	CDS	2619	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
BIJEODOL_00069	CDS	789	neo	2.7.1.95		Aminoglycoside 3'-phosphotransferase
BIJEODOL_00070	CDS	930				hypothetical protein
BIJEODOL_00071	CDS	375				hypothetical protein
BIJEODOL_00072	CDS	363				hypothetical protein
BIJEODOL_00073	CDS	567	ddrB			Single-stranded DNA-binding protein DdrB
BIJEODOL_00074	CDS	1962	prsA_1	5.2.1.8		Foldase protein PrsA
BIJEODOL_00075	tRNA	77				tRNA-Arg(ccg)
BIJEODOL_00076	CDS	480				hypothetical protein
BIJEODOL_00077	CDS	2109	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
BIJEODOL_00078	CDS	594				hypothetical protein
BIJEODOL_00079	CDS	4404	smc_1			Chromosome partition protein Smc
BIJEODOL_00080	CDS	1206	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
BIJEODOL_00081	CDS	780	sdhL	1.1.1.25	COG0169	Shikimate dehydrogenase-like protein
BIJEODOL_00082	CDS	921	argC	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
BIJEODOL_00083	CDS	516		3.6.1.-	COG0494	Nudix hydrolase
BIJEODOL_00084	CDS	1062	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
BIJEODOL_00085	CDS	714	bshB2	3.5.1.-	COG2120	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2
BIJEODOL_00086	CDS	465				hypothetical protein
BIJEODOL_00087	CDS	1254	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
BIJEODOL_00088	rRNA	1500				16S ribosomal RNA
BIJEODOL_00089	CDS	1317	obg	3.6.5.-	COG0536	GTPase Obg
BIJEODOL_00090	CDS	276	rpmA		COG0211	50S ribosomal protein L27
BIJEODOL_00091	CDS	303	rplU		COG0261	50S ribosomal protein L21
BIJEODOL_00092	CDS	474	nrdR		COG1327	Transcriptional repressor NrdR
BIJEODOL_00093	CDS	780				hypothetical protein
BIJEODOL_00094	CDS	1077	crtQ	2.4.1.-		4,4'-diaponeurosporenoate glycosyltransferase
BIJEODOL_00095	CDS	699				hypothetical protein
BIJEODOL_00096	CDS	939				hypothetical protein
BIJEODOL_00097	CDS	276				hypothetical protein
BIJEODOL_00098	CDS	1536	crtN	1.3.8.2		4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming)
BIJEODOL_00099	CDS	465				hypothetical protein
BIJEODOL_00100	CDS	1827		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
BIJEODOL_00101	CDS	1752			COG1132	putative ABC transporter ATP-binding protein
BIJEODOL_00102	CDS	552				hypothetical protein
BIJEODOL_00103	CDS	309	rpsF		COG0360	30S ribosomal protein S6
BIJEODOL_00104	CDS	345	ssb_1		COG0629	Single-stranded DNA-binding protein
BIJEODOL_00105	CDS	255	ssb_2		COG0629	Single-stranded DNA-binding protein
BIJEODOL_00106	CDS	339	ssb_3		COG0629	Single-stranded DNA-binding protein
BIJEODOL_00107	CDS	279	rpsR		COG0238	30S ribosomal protein S18
BIJEODOL_00108	CDS	441	rplI		COG0359	50S ribosomal protein L9
BIJEODOL_00109	CDS	804				hypothetical protein
BIJEODOL_00110	CDS	699				hypothetical protein
BIJEODOL_00111	CDS	600				hypothetical protein
BIJEODOL_00112	CDS	675				hypothetical protein
BIJEODOL_00113	CDS	1356	norM		COG0534	Multidrug resistance protein NorM
BIJEODOL_00114	CDS	2175				hypothetical protein
BIJEODOL_00115	CDS	387				hypothetical protein
BIJEODOL_00116	CDS	792			COG0327	GTP cyclohydrolase 1 type 2 
BIJEODOL_00117	CDS	621	tmk	2.7.4.9	COG0125	Thymidylate kinase
BIJEODOL_00118	CDS	885				hypothetical protein
BIJEODOL_00119	CDS	855	fadH	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
BIJEODOL_00120	CDS	774	echA8	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
BIJEODOL_00121	CDS	786				hypothetical protein
BIJEODOL_00122	CDS	345				hypothetical protein
BIJEODOL_00123	CDS	1338	accC	6.3.4.14	COG0439	Biotin carboxylase
BIJEODOL_00124	CDS	564	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
BIJEODOL_00125	CDS	558	efp		COG0231	Elongation factor P
BIJEODOL_00126	CDS	1113				hypothetical protein
BIJEODOL_00127	CDS	1164				hypothetical protein
BIJEODOL_00128	CDS	843				hypothetical protein
BIJEODOL_00129	CDS	627	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
BIJEODOL_00130	CDS	285				hypothetical protein
BIJEODOL_00131	CDS	516				hypothetical protein
BIJEODOL_00132	CDS	939	dnaJ_1		COG0484	Chaperone protein DnaJ
BIJEODOL_00133	CDS	786				hypothetical protein
BIJEODOL_00134	CDS	204				hypothetical protein
BIJEODOL_00135	CDS	666	grpE			Protein GrpE
BIJEODOL_00136	CDS	1887	dnaK		COG0443	Chaperone protein DnaK
BIJEODOL_00137	CDS	1167	hemW		COG0635	Heme chaperone HemW
BIJEODOL_00138	CDS	1653				hypothetical protein
BIJEODOL_00139	CDS	117				hypothetical protein
