locus_tag	ftype	length_bp	gene	EC_number	COG	product
IKPCEBJP_00001	CDS	1368	dnaA			Chromosomal replication initiator protein DnaA
IKPCEBJP_00002	CDS	1143	dnaN		COG0592	Beta sliding clamp
IKPCEBJP_00003	CDS	3300	rexB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
IKPCEBJP_00004	CDS	3612	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
IKPCEBJP_00005	CDS	201				hypothetical protein
IKPCEBJP_00006	CDS	558				hypothetical protein
IKPCEBJP_00007	CDS	1116	ychF		COG0012	Ribosome-binding ATPase YchF
IKPCEBJP_00008	CDS	324	bcrR			HTH-type transcriptional activator BcrR
IKPCEBJP_00009	CDS	345				hypothetical protein
IKPCEBJP_00010	CDS	1992				hypothetical protein
IKPCEBJP_00011	CDS	636	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
IKPCEBJP_00012	CDS	471				hypothetical protein
IKPCEBJP_00013	CDS	567	pth	3.1.1.29		Peptidyl-tRNA hydrolase
IKPCEBJP_00014	CDS	3486	mfd	3.6.4.-		Transcription-repair-coupling factor
IKPCEBJP_00015	CDS	471				hypothetical protein
IKPCEBJP_00016	CDS	318				hypothetical protein
IKPCEBJP_00017	CDS	375				hypothetical protein
IKPCEBJP_00018	CDS	324				hypothetical protein
IKPCEBJP_00019	CDS	1350				hypothetical protein
IKPCEBJP_00020	CDS	1272	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
IKPCEBJP_00021	CDS	552	hpt_1	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
IKPCEBJP_00022	CDS	2088	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
IKPCEBJP_00023	tRNA	74				tRNA-Glu(ttc)
IKPCEBJP_00024	tRNA	90				tRNA-Ser(tga)
IKPCEBJP_00025	tRNA	76				tRNA-Met(cat)
IKPCEBJP_00026	tRNA	75				tRNA-Phe(gaa)
IKPCEBJP_00027	tRNA	73				tRNA-Gly(tcc)
IKPCEBJP_00028	tRNA	76				tRNA-Ile(gat)
IKPCEBJP_00029	rRNA	103				5S ribosomal RNA
IKPCEBJP_00030	tRNA	76				tRNA-Asn(gtt)
IKPCEBJP_00031	CDS	504	mtlA			PTS system mannitol-specific EIICB component
IKPCEBJP_00032	CDS	1302				hypothetical protein
IKPCEBJP_00033	CDS	1938	mtlR			Transcriptional regulator MtlR
IKPCEBJP_00034	CDS	432	mtlF		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
IKPCEBJP_00035	CDS	1158	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
IKPCEBJP_00036	CDS	324				hypothetical protein
IKPCEBJP_00037	CDS	411				hypothetical protein
IKPCEBJP_00038	CDS	444				hypothetical protein
IKPCEBJP_00039	CDS	582				hypothetical protein
IKPCEBJP_00040	CDS	1629				hypothetical protein
IKPCEBJP_00041	CDS	795				hypothetical protein
IKPCEBJP_00042	CDS	330				hypothetical protein
IKPCEBJP_00043	CDS	195				hypothetical protein
IKPCEBJP_00044	CDS	240				hypothetical protein
IKPCEBJP_00045	CDS	282				hypothetical protein
IKPCEBJP_00046	CDS	252				hypothetical protein
IKPCEBJP_00047	CDS	522				hypothetical protein
IKPCEBJP_00048	CDS	195				hypothetical protein
IKPCEBJP_00049	CDS	741				hypothetical protein
IKPCEBJP_00050	CDS	198				hypothetical protein
IKPCEBJP_00051	CDS	387				hypothetical protein
IKPCEBJP_00052	CDS	555				hypothetical protein
IKPCEBJP_00053	CDS	231				hypothetical protein
IKPCEBJP_00054	CDS	195				hypothetical protein
IKPCEBJP_00055	CDS	243				hypothetical protein
IKPCEBJP_00056	CDS	213				hypothetical protein
IKPCEBJP_00057	CDS	147				hypothetical protein
IKPCEBJP_00058	CDS	165				hypothetical protein
IKPCEBJP_00059	CDS	306				hypothetical protein
