locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCJLMEGC_00001	CDS	282				hypothetical protein
LCJLMEGC_00002	CDS	306	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
LCJLMEGC_00003	CDS	1479	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
LCJLMEGC_00004	CDS	1467	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
LCJLMEGC_00005	CDS	2769	pmp1			putative outer membrane protein pmp1
LCJLMEGC_00006	CDS	2895				hypothetical protein
LCJLMEGC_00007	CDS	804				hypothetical protein
LCJLMEGC_00008	CDS	1308				hypothetical protein
LCJLMEGC_00009	CDS	894				hypothetical protein
LCJLMEGC_00010	CDS	1371				hypothetical protein
LCJLMEGC_00011	CDS	726				hypothetical protein
LCJLMEGC_00012	CDS	1572				hypothetical protein
LCJLMEGC_00013	CDS	2526	pmp2			putative outer membrane protein pmp2
LCJLMEGC_00014	CDS	534				putative outer membrane protein pmp11
LCJLMEGC_00015	CDS	2241				putative outer membrane protein pmp10
LCJLMEGC_00016	CDS	1776				putative outer membrane protein pmp10
LCJLMEGC_00017	CDS	945				putative outer membrane protein pmp10
LCJLMEGC_00018	CDS	189				hypothetical protein
LCJLMEGC_00019	CDS	1485	pmp8_1			putative outer membrane protein pmp8
LCJLMEGC_00020	CDS	1188				putative outer membrane protein pmp10
LCJLMEGC_00021	CDS	2088				hypothetical protein
LCJLMEGC_00022	CDS	1707				hypothetical protein
LCJLMEGC_00023	CDS	591	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
LCJLMEGC_00024	CDS	1605	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
LCJLMEGC_00025	CDS	939	xerC		COG4973	Tyrosine recombinase XerC
LCJLMEGC_00026	CDS	924	rbn_1	3.1.-.-	COG1234	Ribonuclease BN
LCJLMEGC_00027	CDS	867				hypothetical protein
LCJLMEGC_00028	CDS	2460	lon	3.4.21.53	COG0466	Lon protease
LCJLMEGC_00029	CDS	786				hypothetical protein
LCJLMEGC_00030	CDS	369				hypothetical protein
LCJLMEGC_00031	CDS	642				hypothetical protein
LCJLMEGC_00032	CDS	177				hypothetical protein
LCJLMEGC_00033	CDS	1179	dnaJ		COG0484	Chaperone protein DnaJ
LCJLMEGC_00034	CDS	2037	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
LCJLMEGC_00035	CDS	1251				hypothetical protein
LCJLMEGC_00036	CDS	1464				hypothetical protein
LCJLMEGC_00037	CDS	741				hypothetical protein
LCJLMEGC_00038	CDS	327				hypothetical protein
LCJLMEGC_00039	CDS	1716	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
LCJLMEGC_00040	CDS	291	ybaB			Nucleoid-associated protein YbaB
LCJLMEGC_00041	CDS	1329	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
LCJLMEGC_00042	CDS	1350				hypothetical protein
LCJLMEGC_00043	CDS	783				hypothetical protein
LCJLMEGC_00044	CDS	1929				hypothetical protein
LCJLMEGC_00045	CDS	357				hypothetical protein
LCJLMEGC_00046	CDS	1725				hypothetical protein
LCJLMEGC_00047	CDS	477				hypothetical protein
LCJLMEGC_00048	CDS	153				hypothetical protein
LCJLMEGC_00049	CDS	2118				hypothetical protein
LCJLMEGC_00050	CDS	483				hypothetical protein
LCJLMEGC_00051	CDS	318				hypothetical protein
LCJLMEGC_00052	CDS	705	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
LCJLMEGC_00053	CDS	1362	radA	3.6.4.-	COG1066	DNA repair protein RadA
LCJLMEGC_00054	CDS	714	rnc	3.1.26.3	COG0571	Ribonuclease 3
LCJLMEGC_00055	CDS	465				hypothetical protein
LCJLMEGC_00056	CDS	1797	pgcA	5.4.2.2		Phosphoglucomutase
LCJLMEGC_00057	CDS	624	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn/Fe]
LCJLMEGC_00058	CDS	927	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
LCJLMEGC_00059	CDS	438	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
LCJLMEGC_00060	CDS	477				hypothetical protein
LCJLMEGC_00061	CDS	678				hypothetical protein
LCJLMEGC_00062	CDS	1386				hypothetical protein
LCJLMEGC_00063	CDS	234				hypothetical protein
LCJLMEGC_00064	CDS	1731				hypothetical protein
LCJLMEGC_00065	CDS	1734				hypothetical protein
LCJLMEGC_00066	CDS	1104				hypothetical protein
LCJLMEGC_00067	CDS	576				hypothetical protein
LCJLMEGC_00068	CDS	1854				hypothetical protein
LCJLMEGC_00069	tRNA	73				tRNA-Met(cat)
LCJLMEGC_00070	CDS	450				hypothetical protein
LCJLMEGC_00071	CDS	1008				hypothetical protein
LCJLMEGC_00072	CDS	222	infA		COG0361	Translation initiation factor IF-1
LCJLMEGC_00073	tRNA	72				tRNA-Thr(ggt)
LCJLMEGC_00074	CDS	1185	tuf			Elongation factor Tu
LCJLMEGC_00075	tRNA	75				tRNA-Trp(cca)
LCJLMEGC_00076	CDS	252				hypothetical protein
LCJLMEGC_00077	CDS	549	nusG		COG0250	Transcription termination/antitermination protein NusG
LCJLMEGC_00078	CDS	426	rplK			50S ribosomal protein L11
LCJLMEGC_00079	CDS	699	rplA			50S ribosomal protein L1
LCJLMEGC_00080	CDS	513	rplJ		COG0244	50S ribosomal protein L10
LCJLMEGC_00081	CDS	390	rplL			50S ribosomal protein L7/L12
LCJLMEGC_00082	CDS	3759	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
LCJLMEGC_00083	CDS	4182	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
LCJLMEGC_00084	CDS	984	tal	2.2.1.2		Transaldolase
LCJLMEGC_00085	CDS	393				hypothetical protein
LCJLMEGC_00086	CDS	744				hypothetical protein
LCJLMEGC_00087	CDS	627	atpE			V-type proton ATPase subunit E
LCJLMEGC_00088	CDS	801				hypothetical protein
LCJLMEGC_00089	CDS	1776	ntpA	7.2.2.1		V-type sodium ATPase catalytic subunit A
LCJLMEGC_00090	CDS	1317	ntpB			V-type sodium ATPase subunit B
LCJLMEGC_00091	CDS	630	atpD			V-type ATP synthase subunit D
LCJLMEGC_00092	CDS	1983				hypothetical protein
LCJLMEGC_00093	CDS	426				hypothetical protein
LCJLMEGC_00094	CDS	462				hypothetical protein
LCJLMEGC_00095	CDS	2823	valS	6.1.1.9	COG0525	Valine--tRNA ligase
LCJLMEGC_00096	CDS	2757	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
LCJLMEGC_00097	CDS	5481	uvrA			UvrABC system protein A
LCJLMEGC_00098	CDS	1455	pyk	2.7.1.40		Pyruvate kinase
LCJLMEGC_00099	CDS	1404	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
LCJLMEGC_00100	CDS	300				hypothetical protein
LCJLMEGC_00101	CDS	1263				hypothetical protein
LCJLMEGC_00102	CDS	795	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
LCJLMEGC_00103	CDS	1347				hypothetical protein
LCJLMEGC_00104	CDS	1035	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
LCJLMEGC_00105	CDS	1203				hypothetical protein
LCJLMEGC_00106	CDS	822				hypothetical protein
LCJLMEGC_00107	CDS	1287				hypothetical protein
LCJLMEGC_00108	CDS	774				hypothetical protein
LCJLMEGC_00109	CDS	558				hypothetical protein
LCJLMEGC_00110	tmRNA	423	ssrA			transfer-messenger RNA, SsrA
LCJLMEGC_00111	CDS	3132	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
LCJLMEGC_00112	CDS	1911				hypothetical protein
LCJLMEGC_00113	CDS	807				hypothetical protein
LCJLMEGC_00114	CDS	330				hypothetical protein
LCJLMEGC_00115	CDS	1074	prfA		COG0216	Peptide chain release factor RF1
LCJLMEGC_00116	CDS	867	prmC	2.1.1.297		Release factor glutamine methyltransferase
LCJLMEGC_00117	CDS	1347	ffh		COG0541	Signal recognition particle protein
LCJLMEGC_00118	CDS	360				hypothetical protein
LCJLMEGC_00119	CDS	1086	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
LCJLMEGC_00120	CDS	366	rplS		COG0335	50S ribosomal protein L19
LCJLMEGC_00121	CDS	645	rnhB	3.1.26.4	COG0164	Ribonuclease HII
LCJLMEGC_00122	CDS	618	gmk	2.7.4.8	COG0194	Guanylate kinase
LCJLMEGC_00123	CDS	294				hypothetical protein
LCJLMEGC_00124	CDS	1656	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
LCJLMEGC_00125	CDS	2199	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
LCJLMEGC_00126	CDS	1458				hypothetical protein
LCJLMEGC_00127	CDS	513				hypothetical protein
LCJLMEGC_00128	CDS	171				hypothetical protein
LCJLMEGC_00129	CDS	2259				hypothetical protein
LCJLMEGC_00130	CDS	1017	ytfF			Inner membrane protein YtfF
LCJLMEGC_00131	CDS	780				hypothetical protein
LCJLMEGC_00132	CDS	657				hypothetical protein
LCJLMEGC_00133	CDS	498				hypothetical protein
LCJLMEGC_00134	tRNA	74				tRNA-Asn(gtt)
LCJLMEGC_00135	CDS	1035				hypothetical protein
LCJLMEGC_00136	CDS	978				hypothetical protein
LCJLMEGC_00137	CDS	774				hypothetical protein
LCJLMEGC_00138	CDS	1635	groL_1		COG0459	60 kDa chaperonin
LCJLMEGC_00139	CDS	309	groS		COG0234	10 kDa chaperonin
LCJLMEGC_00140	CDS	1836	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
LCJLMEGC_00141	CDS	756			COG0327	GTP cyclohydrolase 1 type 2 
LCJLMEGC_00142	CDS	1350	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
LCJLMEGC_00143	CDS	567				hypothetical protein
LCJLMEGC_00144	CDS	441				hypothetical protein
LCJLMEGC_00145	CDS	696	rpiA	5.3.1.6		Ribose-5-phosphate isomerase A
LCJLMEGC_00146	CDS	1125	metE	2.1.1.14		5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
LCJLMEGC_00147	CDS	2601	clpB			Chaperone protein ClpB
LCJLMEGC_00148	CDS	1596				hypothetical protein
LCJLMEGC_00149	CDS	486				hypothetical protein
LCJLMEGC_00150	CDS	450				hypothetical protein
LCJLMEGC_00151	CDS	1860	pkn1	2.7.11.1		Serine/threonine-protein kinase Pkn1
LCJLMEGC_00152	CDS	1989	ligA	6.5.1.2		DNA ligase
LCJLMEGC_00153	CDS	4614				hypothetical protein
