locus_tag	ftype	length_bp	gene	EC_number	COG	product
LPKLADBE_00001	CDS	645	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
LPKLADBE_00002	CDS	2277	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
LPKLADBE_00003	CDS	699	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
LPKLADBE_00004	CDS	1197	bcr_1			Bicyclomycin resistance protein
LPKLADBE_00005	CDS	684	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
LPKLADBE_00006	CDS	666	ccmB		COG2386	Heme exporter protein B
LPKLADBE_00007	CDS	741	ccmC		COG0755	Heme exporter protein C
LPKLADBE_00008	CDS	204				hypothetical protein
LPKLADBE_00009	CDS	540	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
LPKLADBE_00010	CDS	1956	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
LPKLADBE_00011	CDS	546	dsbE_1		COG0526	Thiol:disulfide interchange protein DsbE
LPKLADBE_00012	CDS	465				hypothetical protein
LPKLADBE_00013	CDS	915				hypothetical protein
LPKLADBE_00014	CDS	405				hypothetical protein
LPKLADBE_00015	CDS	624				hypothetical protein
LPKLADBE_00016	CDS	303				hypothetical protein
LPKLADBE_00017	CDS	702	hda		COG0593	DnaA regulatory inactivator Hda
LPKLADBE_00018	CDS	1254	pyrP			Uracil permease
LPKLADBE_00019	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
LPKLADBE_00020	CDS	642	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
LPKLADBE_00021	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
LPKLADBE_00022	CDS	477	pe			Surface-adhesin protein E
LPKLADBE_00023	CDS	102				hypothetical protein
LPKLADBE_00024	CDS	1479	nrfA	1.7.2.2	COG3303	Cytochrome c-552
LPKLADBE_00025	CDS	648	nrfB			Cytochrome c-type protein NrfB
LPKLADBE_00026	CDS	681	ydhX		COG0437	putative ferredoxin-like protein YdhX
LPKLADBE_00027	CDS	960				hypothetical protein
LPKLADBE_00028	CDS	1926	ccmF_2		COG1138	Cytochrome c-type biogenesis protein CcmF
LPKLADBE_00029	CDS	567	dsbE_2		COG0526	Thiol:disulfide interchange protein DsbE
LPKLADBE_00030	CDS	486	ccmH		COG3088	Cytochrome c-type biogenesis protein CcmH
LPKLADBE_00031	CDS	837				hypothetical protein
LPKLADBE_00032	CDS	1224			COG2081	putative protein
LPKLADBE_00033	CDS	1455	katA	1.11.1.6	COG0753	Catalase
LPKLADBE_00034	CDS	537				hypothetical protein
LPKLADBE_00035	CDS	3480	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
LPKLADBE_00036	CDS	567				hypothetical protein
LPKLADBE_00037	CDS	1368	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
LPKLADBE_00038	CDS	1242	sdaC		COG0814	Serine transporter
LPKLADBE_00039	CDS	828	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
LPKLADBE_00040	CDS	984	rbn	3.1.26.11		Ribonuclease BN
LPKLADBE_00041	CDS	2184	btuB_1			Vitamin B12 transporter BtuB
LPKLADBE_00042	CDS	1695	yddA		COG4178	Inner membrane ABC transporter ATP-binding protein YddA
LPKLADBE_00043	CDS	555	hutZ_1	1.14.99.58	COG0748	Heme oxygenase HutZ
LPKLADBE_00044	CDS	1350	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
LPKLADBE_00045	CDS	627				hypothetical protein
LPKLADBE_00046	CDS	1479	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
LPKLADBE_00047	CDS	147				hypothetical protein
LPKLADBE_00048	CDS	537	dsbB		COG1495	Disulfide bond formation protein B
LPKLADBE_00049	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
LPKLADBE_00050	CDS	726	fadR		COG2186	Fatty acid metabolism regulator protein
LPKLADBE_00051	CDS	1038	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
LPKLADBE_00052	CDS	1659				hypothetical protein
LPKLADBE_00053	CDS	1014	futA1			Iron uptake protein A1
LPKLADBE_00054	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
LPKLADBE_00055	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
LPKLADBE_00056	CDS	1707	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
LPKLADBE_00057	CDS	744	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
LPKLADBE_00058	CDS	1731	fhaC_1		COG2831	Filamentous hemagglutinin transporter protein FhaC
LPKLADBE_00059	CDS	7848	ibpA			Protein adenylyltransferase and cysteine protease IbpA
LPKLADBE_00060	CDS	111	era_1		COG1159	GTPase Era
LPKLADBE_00061	CDS	198				hypothetical protein
LPKLADBE_00062	CDS	1722	fhaC_2		COG2831	Filamentous hemagglutinin transporter protein FhaC
LPKLADBE_00063	CDS	11760				hypothetical protein
LPKLADBE_00064	CDS	921	era_2		COG1159	GTPase Era
LPKLADBE_00065	CDS	678	rnc	3.1.26.3	COG0571	Ribonuclease 3
LPKLADBE_00066	CDS	1023	lepB	3.4.21.89	COG0681	Signal peptidase I
LPKLADBE_00067	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
LPKLADBE_00068	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
LPKLADBE_00069	CDS	669	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
LPKLADBE_00070	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
LPKLADBE_00071	CDS	567				hypothetical protein
LPKLADBE_00072	CDS	915	fieF		COG0053	Ferrous-iron efflux pump FieF
LPKLADBE_00073	CDS	966	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
LPKLADBE_00074	CDS	1191	rlmC	2.1.1.189	COG2265	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
LPKLADBE_00075	CDS	1056	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
LPKLADBE_00076	CDS	351				hypothetical protein
LPKLADBE_00077	CDS	351		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
LPKLADBE_00078	CDS	852	focA		COG2116	putative formate transporter 1
LPKLADBE_00079	CDS	2325	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
LPKLADBE_00080	CDS	2040	lip-1	3.1.1.3		Lipase 1
LPKLADBE_00081	CDS	741	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
LPKLADBE_00082	CDS	501	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
LPKLADBE_00083	CDS	852	thyA	2.1.1.45	COG0207	Thymidylate synthase
LPKLADBE_00084	CDS	813	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
LPKLADBE_00085	CDS	795				hypothetical protein
LPKLADBE_00086	CDS	597	rppH	3.6.1.-		RNA pyrophosphohydrolase
LPKLADBE_00087	CDS	567	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
LPKLADBE_00088	CDS	435				hypothetical protein
LPKLADBE_00089	CDS	1386				hypothetical protein
LPKLADBE_00090	CDS	1212	epsF		COG1459	Type II secretion system protein F
LPKLADBE_00091	CDS	723				hypothetical protein
LPKLADBE_00092	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
LPKLADBE_00093	CDS	204	yacG		COG3024	DNA gyrase inhibitor YacG
LPKLADBE_00094	CDS	270				hypothetical protein
LPKLADBE_00095	CDS	1374	alsT_1		COG1115	Amino-acid carrier protein AlsT
LPKLADBE_00096	CDS	318	yfiA		COG1544	Ribosome-associated factor Y
LPKLADBE_00097	CDS	894	xerD		COG4974	Tyrosine recombinase XerD
LPKLADBE_00098	CDS	1158	hcaT			putative 3-phenylpropionic acid transporter
LPKLADBE_00099	CDS	828	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
LPKLADBE_00100	CDS	909	rdgC		COG2974	Recombination-associated protein RdgC
LPKLADBE_00101	CDS	744		3.5.2.20	COG1878	Isatin hydrolase
LPKLADBE_00102	CDS	1167	oapA		COG3061	Opacity-associated protein OapA
LPKLADBE_00103	CDS	1014	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
LPKLADBE_00104	CDS	567	efp		COG0231	Elongation factor P
LPKLADBE_00105	CDS	507				hypothetical protein
LPKLADBE_00106	CDS	720	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
LPKLADBE_00107	CDS	726	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
LPKLADBE_00108	CDS	1407	ftsP		COG2132	Cell division protein FtsP
LPKLADBE_00109	CDS	390				hypothetical protein
LPKLADBE_00110	CDS	1533	der		COG1160	GTPase Der
LPKLADBE_00111	tRNA	77				tRNA-Asp(gtc)
LPKLADBE_00112	tRNA	77				tRNA-Asp(gtc)
LPKLADBE_00113	CDS	762	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
LPKLADBE_00114	CDS	465	rnhA	3.1.26.4	COG0328	Ribonuclease HI
LPKLADBE_00115	CDS	840				hypothetical protein
LPKLADBE_00116	CDS	612				hypothetical protein
LPKLADBE_00117	CDS	771				hypothetical protein
LPKLADBE_00118	CDS	567				hypothetical protein
LPKLADBE_00119	CDS	702			COG0325	Pyridoxal phosphate homeostasis protein
LPKLADBE_00120	CDS	2448	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
LPKLADBE_00121	CDS	957	thrB	2.7.1.39		Homoserine kinase
LPKLADBE_00122	CDS	1275	thrC	4.2.3.1	COG0498	Threonine synthase
LPKLADBE_00123	CDS	723				hypothetical protein
LPKLADBE_00124	CDS	1248	hflK		COG0330	Modulator of FtsH protease HflK
LPKLADBE_00125	CDS	888	hflC		COG0330	Modulator of FtsH protease HflC
LPKLADBE_00126	CDS	543				hypothetical protein
LPKLADBE_00127	CDS	1356	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
LPKLADBE_00128	CDS	540	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
LPKLADBE_00129	CDS	612	gmhA_1	5.3.1.28	COG0279	Phosphoheptose isomerase
LPKLADBE_00130	CDS	732	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
LPKLADBE_00131	CDS	723	artI		COG0834	ABC transporter arginine-binding protein
LPKLADBE_00132	CDS	672	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
LPKLADBE_00133	CDS	684	artM		COG4160	Arginine ABC transporter permease protein ArtM
LPKLADBE_00134	CDS	231				hypothetical protein
LPKLADBE_00135	CDS	774	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
LPKLADBE_00136	CDS	993	fecD		COG0609	Fe(3+) dicitrate transport system permease protein FecD
LPKLADBE_00137	CDS	984	fecC		COG0609	Fe(3+) dicitrate transport system permease protein FecC
LPKLADBE_00138	CDS	897	fecB		COG4594	Fe(3+) dicitrate-binding periplasmic protein
LPKLADBE_00139	CDS	1545				hypothetical protein
LPKLADBE_00140	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
LPKLADBE_00141	CDS	966	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
LPKLADBE_00142	CDS	318	ftsL		COG3116	Cell division protein FtsL
LPKLADBE_00143	CDS	1806	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
LPKLADBE_00144	CDS	1485	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
LPKLADBE_00145	CDS	1383	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
LPKLADBE_00146	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
LPKLADBE_00147	CDS	1305	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
LPKLADBE_00148	CDS	1191	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
LPKLADBE_00149	CDS	1065	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
LPKLADBE_00150	CDS	1449	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
LPKLADBE_00151	CDS	930	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
LPKLADBE_00152	CDS	777	ftsQ			Cell division protein FtsQ
LPKLADBE_00153	CDS	1281	ftsA		COG0849	Cell division protein FtsA
LPKLADBE_00154	CDS	1305	ftsZ			Cell division protein FtsZ
LPKLADBE_00155	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
LPKLADBE_00156	CDS	1152	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
LPKLADBE_00157	CDS	1164	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
LPKLADBE_00158	CDS	1014	rbsR		COG1609	Ribose operon repressor
LPKLADBE_00159	CDS	921	rbsK	2.7.1.15	COG0524	Ribokinase
LPKLADBE_00160	CDS	888	rbsB_1		COG1879	Ribose import binding protein RbsB
LPKLADBE_00161	CDS	969	rbsC_1		COG1172	Ribose import permease protein RbsC
LPKLADBE_00162	CDS	1497	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
LPKLADBE_00163	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
LPKLADBE_00164	CDS	210				hypothetical protein
LPKLADBE_00165	CDS	333				hypothetical protein
LPKLADBE_00166	CDS	555	ytfJ		COG3054	putative protein YtfJ
LPKLADBE_00167	CDS	1239		3.-.-.-	COG0624	putative hydrolase
LPKLADBE_00168	CDS	729				hypothetical protein
LPKLADBE_00169	CDS	1413	ydgI		COG0531	Putative arginine/ornithine antiporter
LPKLADBE_00170	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
LPKLADBE_00171	CDS	585	pth	3.1.1.29		Peptidyl-tRNA hydrolase
LPKLADBE_00172	CDS	441	pasT		COG2867	Persistence and stress-resistance toxin PasT
LPKLADBE_00173	CDS	300				hypothetical protein
LPKLADBE_00174	CDS	1194		1.14.11.-	COG2850	putative ribosomal oxygenase
LPKLADBE_00175	CDS	1338	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
LPKLADBE_00176	CDS	867	rapZ		COG1660	RNase adapter protein RapZ
LPKLADBE_00177	CDS	519	ptsN		COG1762	Nitrogen regulatory protein
LPKLADBE_00178	CDS	726	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
LPKLADBE_00179	CDS	513	lptA		COG1934	Lipopolysaccharide export system protein LptA
