locus_tag	ftype	length_bp	gene	EC_number	COG	product
BOOBKDJI_00001	CDS	417	nusB		COG0781	Transcription antitermination protein NusB
BOOBKDJI_00002	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
BOOBKDJI_00003	CDS	831	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
BOOBKDJI_00004	CDS	666	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
BOOBKDJI_00005	CDS	684	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
BOOBKDJI_00006	CDS	831	panC	6.3.2.1	COG0414	Pantothenate synthetase
BOOBKDJI_00007	tRNA	76				tRNA-Glu(ttc)
BOOBKDJI_00008	tRNA	77				tRNA-Asp(gtc)
BOOBKDJI_00009	tRNA	76				tRNA-Val(tac)
BOOBKDJI_00010	tRNA	75				tRNA-Glu(ttc)
BOOBKDJI_00011	tRNA	76				tRNA-Lys(ttt)
BOOBKDJI_00012	CDS	1902				hypothetical protein
BOOBKDJI_00013	CDS	1641	groL		COG0459	60 kDa chaperonin
BOOBKDJI_00014	CDS	357	groS		COG0234	10 kDa chaperonin
BOOBKDJI_00015	CDS	1680	dnaG	2.7.7.-	COG0358	DNA primase
BOOBKDJI_00016	CDS	1053	mnmA_1	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
BOOBKDJI_00017	CDS	828				hypothetical protein
BOOBKDJI_00018	CDS	282				hypothetical protein
BOOBKDJI_00019	CDS	264				hypothetical protein
BOOBKDJI_00020	CDS	2364	virB4_1		COG3451	Type IV secretion system protein virB4
BOOBKDJI_00021	CDS	1341				hypothetical protein
BOOBKDJI_00022	CDS	966	cheV_1		COG0784	Chemotaxis protein CheV
BOOBKDJI_00023	CDS	1218	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
BOOBKDJI_00024	CDS	576	lpxE	3.1.-.-	COG0671	Lipid A 1-phosphatase
BOOBKDJI_00025	CDS	1572	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
BOOBKDJI_00026	CDS	2073				hypothetical protein
BOOBKDJI_00027	CDS	1281	gltA	2.3.3.16	COG0372	Citrate synthase
BOOBKDJI_00028	CDS	1278	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
BOOBKDJI_00029	CDS	528				hypothetical protein
BOOBKDJI_00030	CDS	657	bioD	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD
BOOBKDJI_00031	CDS	1698				hypothetical protein
BOOBKDJI_00032	CDS	414				hypothetical protein
BOOBKDJI_00033	CDS	243	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
BOOBKDJI_00034	CDS	2229	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
BOOBKDJI_00035	CDS	354	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
BOOBKDJI_00036	CDS	303			COG0718	Nucleoid-associated protein
BOOBKDJI_00037	CDS	1005				hypothetical protein
BOOBKDJI_00038	CDS	1056				hypothetical protein
BOOBKDJI_00039	CDS	114				hypothetical protein
BOOBKDJI_00040	CDS	744				hypothetical protein
BOOBKDJI_00041	CDS	987				hypothetical protein
BOOBKDJI_00042	CDS	1131				hypothetical protein
BOOBKDJI_00043	CDS	1413	algA		COG0662	Alginate biosynthesis protein AlgA
BOOBKDJI_00044	CDS	1146	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
BOOBKDJI_00045	CDS	933	colC	1.1.1.356		GDP-L-colitose synthase
BOOBKDJI_00046	CDS	999	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
BOOBKDJI_00047	CDS	2274	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
BOOBKDJI_00048	CDS	993	aguA	3.5.3.12	COG2957	Agmatine deiminase
BOOBKDJI_00049	CDS	693	dpnA_1	2.1.1.72		Modification methylase DpnIIB
BOOBKDJI_00050	CDS	558				hypothetical protein
BOOBKDJI_00051	CDS	1032				hypothetical protein
BOOBKDJI_00052	CDS	786				hypothetical protein
BOOBKDJI_00053	CDS	1491	putP		COG0591	High-affinity proline transporter PutP
BOOBKDJI_00054	CDS	3558	rocA	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
BOOBKDJI_00055	CDS	210				hypothetical protein
BOOBKDJI_00056	CDS	93				hypothetical protein
BOOBKDJI_00057	CDS	663				hypothetical protein
