locus_tag	ftype	length_bp	gene	EC_number	COG	product
BKGJBIMN_00001	CDS	2100	fusA		COG0480	Elongation factor G
BKGJBIMN_00002	CDS	1218	tuf_1		COG0050	Elongation factor Tu
BKGJBIMN_00003	CDS	315	rpsJ		COG0051	30S ribosomal protein S10
BKGJBIMN_00004	CDS	726	rplC		COG0087	50S ribosomal protein L3
BKGJBIMN_00005	CDS	600	rplD		COG0088	50S ribosomal protein L4
BKGJBIMN_00006	CDS	312	rplW		COG0089	50S ribosomal protein L23
BKGJBIMN_00007	CDS	915	rplB		COG0090	50S ribosomal protein L2
BKGJBIMN_00008	CDS	660				hypothetical protein
BKGJBIMN_00009	CDS	297	rplV		COG0091	50S ribosomal protein L22
BKGJBIMN_00010	CDS	639	rpsC		COG0092	30S ribosomal protein S3
BKGJBIMN_00011	CDS	429	rplP		COG0197	50S ribosomal protein L16
BKGJBIMN_00012	CDS	222				hypothetical protein
BKGJBIMN_00013	CDS	324				hypothetical protein
BKGJBIMN_00014	CDS	660	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
BKGJBIMN_00015	CDS	516				hypothetical protein
BKGJBIMN_00016	CDS	1131	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
BKGJBIMN_00017	CDS	1314	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
BKGJBIMN_00018	CDS	234				hypothetical protein
BKGJBIMN_00019	CDS	1119	mrdB_1	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
BKGJBIMN_00020	CDS	210				hypothetical protein
BKGJBIMN_00021	CDS	483				hypothetical protein
BKGJBIMN_00022	CDS	1779				hypothetical protein
BKGJBIMN_00023	CDS	480				hypothetical protein
BKGJBIMN_00024	CDS	1209	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
BKGJBIMN_00025	CDS	1341	sdcS			Sodium-dependent dicarboxylate transporter SdcS
BKGJBIMN_00026	CDS	1443	rtcB	6.5.1.-		RNA-splicing ligase RtcB
BKGJBIMN_00027	CDS	1296				hypothetical protein
BKGJBIMN_00028	CDS	507	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
BKGJBIMN_00029	CDS	528				hypothetical protein
BKGJBIMN_00030	CDS	867	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
BKGJBIMN_00031	CDS	579	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
BKGJBIMN_00032	CDS	1281				hypothetical protein
BKGJBIMN_00033	CDS	312				hypothetical protein
BKGJBIMN_00034	CDS	723				hypothetical protein
BKGJBIMN_00035	CDS	1230	fbcH		COG1290	Cytochrome b/c1
BKGJBIMN_00036	CDS	546	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
BKGJBIMN_00037	CDS	921	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
BKGJBIMN_00038	CDS	300		4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
BKGJBIMN_00039	CDS	2430	bamA_1			Outer membrane protein assembly factor BamA
BKGJBIMN_00040	CDS	855	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
BKGJBIMN_00041	CDS	1080	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
BKGJBIMN_00042	CDS	576			COG4752	putative protein
BKGJBIMN_00043	CDS	759	ccsA_1			Cytochrome c biogenesis protein CcsA
