locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGDFCPPH_00001	CDS	1023				hypothetical protein
PGDFCPPH_00002	CDS	273				hypothetical protein
PGDFCPPH_00003	CDS	303	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
PGDFCPPH_00004	CDS	1476	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
PGDFCPPH_00005	CDS	1467	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
PGDFCPPH_00006	CDS	1092				hypothetical protein
PGDFCPPH_00007	CDS	570				hypothetical protein
PGDFCPPH_00008	CDS	951				hypothetical protein
PGDFCPPH_00009	CDS	903	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
PGDFCPPH_00010	CDS	432				hypothetical protein
PGDFCPPH_00011	CDS	1368	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
PGDFCPPH_00012	CDS	1257				hypothetical protein
PGDFCPPH_00013	CDS	693	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
PGDFCPPH_00014	CDS	1341	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
PGDFCPPH_00015	CDS	1062	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
PGDFCPPH_00016	CDS	1305				hypothetical protein
PGDFCPPH_00017	CDS	729				hypothetical protein
PGDFCPPH_00018	CDS	1323				hypothetical protein
PGDFCPPH_00019	CDS	504				hypothetical protein
PGDFCPPH_00020	tmRNA	417	ssrA			transfer-messenger RNA, SsrA
PGDFCPPH_00021	CDS	3111	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
PGDFCPPH_00022	CDS	1872				hypothetical protein
PGDFCPPH_00023	CDS	744				hypothetical protein
PGDFCPPH_00024	CDS	327				hypothetical protein
PGDFCPPH_00025	CDS	1080	prfA		COG0216	Peptide chain release factor RF1
PGDFCPPH_00026	CDS	873	prmC	2.1.1.297		Release factor glutamine methyltransferase
PGDFCPPH_00027	CDS	1347	ffh		COG0541	Signal recognition particle protein
PGDFCPPH_00028	CDS	351				hypothetical protein
PGDFCPPH_00029	CDS	1059	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
PGDFCPPH_00030	CDS	366	rplS		COG0335	50S ribosomal protein L19
PGDFCPPH_00031	CDS	654	rnhB	3.1.26.4	COG0164	Ribonuclease HII
PGDFCPPH_00032	CDS	618	gmk	2.7.4.8	COG0194	Guanylate kinase
PGDFCPPH_00033	CDS	303				hypothetical protein
PGDFCPPH_00034	CDS	1653	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
PGDFCPPH_00035	CDS	2241	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
PGDFCPPH_00036	CDS	1026	ytfF			Inner membrane protein YtfF
PGDFCPPH_00037	CDS	774				hypothetical protein
PGDFCPPH_00038	CDS	1212				hypothetical protein
PGDFCPPH_00039	tRNA	75				tRNA-Asn(gtt)
PGDFCPPH_00040	CDS	345				hypothetical protein
PGDFCPPH_00041	CDS	573	dcd	3.5.4.13		dCTP deaminase
PGDFCPPH_00042	CDS	1005	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
PGDFCPPH_00043	CDS	813				hypothetical protein
PGDFCPPH_00044	CDS	2001	glgX	3.2.1.-	COG1523	Glycogen operon protein GlgX 
PGDFCPPH_00045	CDS	504				hypothetical protein
PGDFCPPH_00046	CDS	474				Single-stranded DNA-binding protein
PGDFCPPH_00047	CDS	1500	pepA	3.4.11.1	COG0260	putative cytosol aminopeptidase
PGDFCPPH_00048	CDS	606	hctB			Histone-like protein HC2
PGDFCPPH_00049	CDS	945				hypothetical protein
PGDFCPPH_00050	CDS	714	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
PGDFCPPH_00051	CDS	1473				hypothetical protein
PGDFCPPH_00052	CDS	1611				hypothetical protein
PGDFCPPH_00053	CDS	1563				hypothetical protein
PGDFCPPH_00054	CDS	1137	hemW		COG0635	Heme chaperone HemW
PGDFCPPH_00055	CDS	447				hypothetical protein
PGDFCPPH_00056	CDS	2718	kgd	2.2.1.5	COG0508	Multifunctional 2-oxoglutarate metabolism enzyme
PGDFCPPH_00057	CDS	1098	odhB	2.3.1.61		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
PGDFCPPH_00058	CDS	732				hypothetical protein
PGDFCPPH_00059	CDS	1809	ispG	1.17.7.3		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
PGDFCPPH_00060	CDS	1104				hypothetical protein
PGDFCPPH_00061	CDS	276				hypothetical protein
PGDFCPPH_00062	tRNA	77				tRNA-Pro(tgg)
PGDFCPPH_00063	CDS	1782	flhA		COG1298	Flagellar biosynthesis protein FlhA
PGDFCPPH_00064	CDS	762	sigD		COG1191	RNA polymerase sigma-D factor
PGDFCPPH_00065	CDS	1239	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
PGDFCPPH_00066	CDS	1443	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
PGDFCPPH_00067	CDS	1809	lepA	3.6.5.-	COG0481	Elongation factor 4
PGDFCPPH_00068	CDS	1587	tlcA_1		COG3202	ADP,ATP carrier protein 1
PGDFCPPH_00069	CDS	477				hypothetical protein
PGDFCPPH_00070	CDS	981	mntA		COG0803	Manganese-binding lipoprotein MntA
PGDFCPPH_00071	CDS	819	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
PGDFCPPH_00072	CDS	1356	mntC		COG1108	Manganese transport system membrane protein MntC
PGDFCPPH_00073	CDS	957				hypothetical protein
PGDFCPPH_00074	CDS	1140	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PGDFCPPH_00075	CDS	1860				hypothetical protein
PGDFCPPH_00076	CDS	978				hypothetical protein
PGDFCPPH_00077	CDS	1098	recF		COG1195	DNA replication and repair protein RecF
PGDFCPPH_00078	CDS	1101	dnaN		COG0592	Beta sliding clamp
PGDFCPPH_00079	CDS	456	smpB		COG0691	SsrA-binding protein
PGDFCPPH_00080	CDS	855	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
PGDFCPPH_00081	CDS	864	folD			Bifunctional protein FolD protein
PGDFCPPH_00082	CDS	396				hypothetical protein
PGDFCPPH_00083	CDS	294				hypothetical protein
PGDFCPPH_00084	CDS	1683				hypothetical protein
PGDFCPPH_00085	CDS	483				hypothetical protein
PGDFCPPH_00086	CDS	1086	clsA_1	2.7.8.-		Cardiolipin synthase A
PGDFCPPH_00087	CDS	1740		4.1.1.61	COG0043	4-hydroxybenzoate decarboxylase subunit C
PGDFCPPH_00088	CDS	270	rpmB		COG0227	50S ribosomal protein L28
PGDFCPPH_00089	CDS	1584	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
PGDFCPPH_00090	CDS	441				hypothetical protein
PGDFCPPH_00091	CDS	1266				hypothetical protein
PGDFCPPH_00092	CDS	2127	mxiA		COG4789	Protein MxiA
PGDFCPPH_00093	CDS	1083	yscU			Yop proteins translocation protein U
PGDFCPPH_00094	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
PGDFCPPH_00095	CDS	924	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
PGDFCPPH_00096	CDS	726	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
PGDFCPPH_00097	CDS	372	rbfA			Ribosome-binding factor A
PGDFCPPH_00098	CDS	2679	infB			Translation initiation factor IF-2
PGDFCPPH_00099	CDS	1305	nusA		COG0195	Transcription termination/antitermination protein NusA
PGDFCPPH_00100	CDS	1710	rpsA		COG0539	30S ribosomal protein S1
PGDFCPPH_00101	CDS	1056	trxB	1.8.1.9	COG0492	Thioredoxin reductase
PGDFCPPH_00102	CDS	360	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
PGDFCPPH_00103	CDS	453				hypothetical protein
PGDFCPPH_00104	CDS	462				hypothetical protein
PGDFCPPH_00105	CDS	897				hypothetical protein
PGDFCPPH_00106	CDS	897	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
