locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNCALGCG_00001	CDS	417	nusB		COG0781	Transcription antitermination protein NusB
MNCALGCG_00002	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
MNCALGCG_00003	CDS	831	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
MNCALGCG_00004	CDS	666	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
MNCALGCG_00005	CDS	684	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
MNCALGCG_00006	CDS	831	panC	6.3.2.1	COG0414	Pantothenate synthetase
MNCALGCG_00007	tRNA	76				tRNA-Glu(ttc)
MNCALGCG_00008	tRNA	77				tRNA-Asp(gtc)
MNCALGCG_00009	tRNA	76				tRNA-Val(tac)
MNCALGCG_00010	tRNA	75				tRNA-Glu(ttc)
MNCALGCG_00011	tRNA	76				tRNA-Lys(ttt)
MNCALGCG_00012	CDS	1905				hypothetical protein
MNCALGCG_00013	CDS	1641	groL		COG0459	60 kDa chaperonin
MNCALGCG_00014	CDS	357	groS		COG0234	10 kDa chaperonin
MNCALGCG_00015	CDS	1680	dnaG	2.7.7.-	COG0358	DNA primase
MNCALGCG_00016	CDS	1053	mnmA_1	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
MNCALGCG_00017	CDS	828				hypothetical protein
MNCALGCG_00018	CDS	282				hypothetical protein
MNCALGCG_00019	CDS	264				hypothetical protein
MNCALGCG_00020	CDS	2364	virB4_1		COG3451	Type IV secretion system protein virB4
MNCALGCG_00021	CDS	1341				hypothetical protein
MNCALGCG_00022	CDS	966	cheV_1		COG0784	Chemotaxis protein CheV
MNCALGCG_00023	CDS	1218	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
MNCALGCG_00024	CDS	573	lpxE	3.1.-.-	COG0671	Lipid A 1-phosphatase
MNCALGCG_00025	CDS	1566	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
MNCALGCG_00026	CDS	2136				hypothetical protein
MNCALGCG_00027	CDS	1281	gltA	2.3.3.16	COG0372	Citrate synthase
MNCALGCG_00028	CDS	1278	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
MNCALGCG_00029	CDS	528				hypothetical protein
MNCALGCG_00030	CDS	657	bioD	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD
MNCALGCG_00031	CDS	1782				hypothetical protein
MNCALGCG_00032	CDS	414				hypothetical protein
MNCALGCG_00033	CDS	276	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
MNCALGCG_00034	CDS	2226	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
MNCALGCG_00035	CDS	354	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
MNCALGCG_00036	CDS	294			COG0718	Nucleoid-associated protein
MNCALGCG_00037	CDS	1005				hypothetical protein
MNCALGCG_00038	CDS	1056				hypothetical protein
MNCALGCG_00039	CDS	93				hypothetical protein
MNCALGCG_00040	CDS	738				hypothetical protein
MNCALGCG_00041	CDS	270				hypothetical protein
MNCALGCG_00042	CDS	744				hypothetical protein
MNCALGCG_00043	CDS	372				hypothetical protein
MNCALGCG_00044	CDS	702				hypothetical protein
MNCALGCG_00045	CDS	1413	algA		COG0662	Alginate biosynthesis protein AlgA
MNCALGCG_00046	CDS	1146	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
MNCALGCG_00047	CDS	933	colC	1.1.1.356		GDP-L-colitose synthase
MNCALGCG_00048	CDS	999	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
MNCALGCG_00049	CDS	2274	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
MNCALGCG_00050	CDS	993	aguA	3.5.3.12	COG2957	Agmatine deiminase
MNCALGCG_00051	CDS	699	dpnA_1	2.1.1.72		Modification methylase DpnIIB
MNCALGCG_00052	CDS	1068	bspRIM	2.1.1.37		Modification methylase BspRI
MNCALGCG_00053	CDS	231				hypothetical protein
MNCALGCG_00054	CDS	1029				hypothetical protein
MNCALGCG_00055	CDS	1260				hypothetical protein
MNCALGCG_00056	CDS	2472				hypothetical protein
MNCALGCG_00057	CDS	1491	putP		COG0591	High-affinity proline transporter PutP
MNCALGCG_00058	CDS	3558	rocA	1.2.1.88		1-pyrroline-5-carboxylate dehydrogenase
MNCALGCG_00059	CDS	210				hypothetical protein
MNCALGCG_00060	CDS	90				hypothetical protein
MNCALGCG_00061	CDS	507				hypothetical protein
MNCALGCG_00062	CDS	855	smc			Chromosome partition protein Smc
MNCALGCG_00063	CDS	2442				hypothetical protein
MNCALGCG_00064	CDS	570				hypothetical protein
MNCALGCG_00065	CDS	261				hypothetical protein
MNCALGCG_00066	CDS	1491				hypothetical protein
MNCALGCG_00067	CDS	420				hypothetical protein
MNCALGCG_00068	CDS	354				hypothetical protein
MNCALGCG_00069	CDS	2427				hypothetical protein
MNCALGCG_00070	CDS	798	ureH		COG0829	Urease accessory protein UreH
MNCALGCG_00071	CDS	600	ureG		COG0378	Urease accessory protein UreG
MNCALGCG_00072	CDS	747	ureF		COG0830	Urease accessory protein UreF
MNCALGCG_00073	CDS	513	ureE		COG2371	Urease accessory protein UreE
MNCALGCG_00074	CDS	588	ureI			Acid-activated urea channel
MNCALGCG_00075	CDS	1710	ureB	3.5.1.5	COG0804	Urease subunit beta
MNCALGCG_00076	CDS	717	ureA	3.5.1.5	COG0831	Urease subunit alpha
MNCALGCG_00077	tRNA	76				tRNA-Val(gac)
MNCALGCG_00078	CDS	474	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
MNCALGCG_00079	CDS	1338	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
MNCALGCG_00080	CDS	270	rpsT		COG0268	30S ribosomal protein S20
MNCALGCG_00081	CDS	1059	prfA		COG0216	Peptide chain release factor RF1
MNCALGCG_00082	CDS	258				hypothetical protein
MNCALGCG_00083	CDS	1788				hypothetical protein
MNCALGCG_00084	CDS	1782				hypothetical protein
MNCALGCG_00085	CDS	2022				hypothetical protein
MNCALGCG_00086	CDS	390	rpsI		COG0103	30S ribosomal protein S9
MNCALGCG_00087	CDS	426	rplM		COG0102	50S ribosomal protein L13
MNCALGCG_00088	CDS	189				hypothetical protein
MNCALGCG_00089	CDS	1353	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
MNCALGCG_00090	CDS	1374				hypothetical protein
MNCALGCG_00091	CDS	2016	rpoD		COG0568	RNA polymerase sigma factor RpoD
MNCALGCG_00092	CDS	696	mtnN	3.2.2.30	COG0775	Aminodeoxyfutalosine nucleosidase
MNCALGCG_00093	CDS	930	fenF	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
MNCALGCG_00094	tRNA	92				tRNA-Ser(gct)
MNCALGCG_00095	CDS	834	mboIR	3.1.21.4		Type-2 restriction enzyme MboI
MNCALGCG_00096	CDS	834				hypothetical protein
MNCALGCG_00097	CDS	441	wbnK	2.4.1.308		O-antigen biosynthesis glycosyltransferase WbnK
MNCALGCG_00098	CDS	468				hypothetical protein
MNCALGCG_00099	CDS	531				hypothetical protein
MNCALGCG_00100	CDS	945		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
MNCALGCG_00101	CDS	714				hypothetical protein
MNCALGCG_00102	CDS	1461	thrC	4.2.3.1	COG0498	Threonine synthase
MNCALGCG_00103	CDS	2028				hypothetical protein
MNCALGCG_00104	CDS	1107	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
MNCALGCG_00105	CDS	762				hypothetical protein
MNCALGCG_00106	CDS	780				hypothetical protein
MNCALGCG_00107	CDS	1695	mcp4		COG0840	Methyl-accepting chemotaxis protein 4
MNCALGCG_00108	CDS	1746	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
MNCALGCG_00109	CDS	468	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
MNCALGCG_00110	CDS	1143	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
MNCALGCG_00111	CDS	918	cysM	2.5.1.47	COG0031	Cysteine synthase
MNCALGCG_00112	CDS	489				hypothetical protein
MNCALGCG_00113	CDS	1863	dnaK			Chaperone protein DnaK
MNCALGCG_00114	CDS	570	grpE			Protein GrpE
MNCALGCG_00115	CDS	831	hrcA			Heat-inducible transcription repressor HrcA
MNCALGCG_00116	CDS	639				hypothetical protein
MNCALGCG_00117	CDS	297				hypothetical protein
MNCALGCG_00118	CDS	1887				hypothetical protein
MNCALGCG_00119	CDS	1545	flaB		COG1344	Flagellin B
MNCALGCG_00120	CDS	2211	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
MNCALGCG_00121	CDS	927	moaA_1			GTP 3',8-cyclase
MNCALGCG_00122	CDS	1188				hypothetical protein
MNCALGCG_00123	CDS	1386				hypothetical protein
MNCALGCG_00124	CDS	1197				hypothetical protein
MNCALGCG_00125	CDS	2439	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
MNCALGCG_00126	CDS	1839	thrZ	6.1.1.3	COG0441	Threonine--tRNA ligase 2
MNCALGCG_00127	CDS	612	infC		COG0290	Translation initiation factor IF-3
MNCALGCG_00128	CDS	195				hypothetical protein
MNCALGCG_00129	CDS	351	rplT		COG0292	50S ribosomal protein L20
MNCALGCG_00130	CDS	861				hypothetical protein
