locus_tag	ftype	length_bp	gene	EC_number	COG	product
MFECGEJE_00001	CDS	1020	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
MFECGEJE_00002	CDS	1800		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
MFECGEJE_00003	CDS	786		3.1.3.-	COG0561	Putative phosphatase
MFECGEJE_00004	CDS	465	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
MFECGEJE_00005	CDS	813	fdhD		COG1526	Sulfur carrier protein FdhD
MFECGEJE_00006	CDS	612	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
MFECGEJE_00007	CDS	2427	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
MFECGEJE_00008	CDS	939	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
MFECGEJE_00009	CDS	717	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
MFECGEJE_00010	CDS	909	fdhE		COG3058	Protein FdhE
MFECGEJE_00011	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
MFECGEJE_00012	CDS	405	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
MFECGEJE_00013	CDS	993	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
MFECGEJE_00014	CDS	909	era		COG1159	GTPase Era
MFECGEJE_00015	CDS	684	rnc	3.1.26.3	COG0571	Ribonuclease 3
MFECGEJE_00016	CDS	1050	lepB	3.4.21.89	COG0681	Signal peptidase I
MFECGEJE_00017	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
MFECGEJE_00018	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
MFECGEJE_00019	CDS	660	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
MFECGEJE_00020	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
MFECGEJE_00021	CDS	1440	ybhI		COG0471	Inner membrane protein YbhI
MFECGEJE_00022	CDS	1398	citG	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
MFECGEJE_00023	CDS	1503	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
MFECGEJE_00024	CDS	876	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
MFECGEJE_00025	CDS	288	citD		COG3052	Citrate lyase acyl carrier protein
MFECGEJE_00026	CDS	1008	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
MFECGEJE_00027	CDS	963	lipA	2.8.1.8	COG0320	Lipoyl synthase
MFECGEJE_00028	CDS	639	lipB	2.3.1.181	COG0321	Octanoyltransferase
MFECGEJE_00029	CDS	279				hypothetical protein
MFECGEJE_00030	CDS	1182	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
MFECGEJE_00031	CDS	864	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
MFECGEJE_00032	CDS	1116	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
MFECGEJE_00033	CDS	1956	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
MFECGEJE_00034	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
MFECGEJE_00035	CDS	309	rsfS		COG0799	Ribosomal silencing factor RsfS
MFECGEJE_00036	CDS	1656	aspT			Aspartate/alanine antiporter
MFECGEJE_00037	CDS	1779	bacA_1		COG4178	Vitamin B12 transport ATP-binding protein BacA
MFECGEJE_00038	CDS	1056	mreB		COG1077	Cell shape-determining protein MreB
MFECGEJE_00039	CDS	1056	mreC		COG1792	Cell shape-determining protein MreC
MFECGEJE_00040	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
MFECGEJE_00041	CDS	777				hypothetical protein
MFECGEJE_00042	CDS	804	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
MFECGEJE_00043	CDS	675	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
MFECGEJE_00044	CDS	1065				hypothetical protein
MFECGEJE_00045	CDS	663	yccA		COG0670	Modulator of FtsH protease YccA
MFECGEJE_00046	tRNA	90				tRNA-Ser(tga)
MFECGEJE_00047	CDS	555	ytfJ		COG3054	putative protein YtfJ
MFECGEJE_00048	CDS	327				hypothetical protein
MFECGEJE_00049	CDS	639	eda		COG0800	Putative KHG/KDPG aldolase
MFECGEJE_00050	CDS	846		1.-.-.-	COG1028	putative oxidoreductase
MFECGEJE_00051	CDS	945	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
MFECGEJE_00052	CDS	1185	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
MFECGEJE_00053	CDS	471				hypothetical protein
MFECGEJE_00054	CDS	987			COG1638	putative protein
MFECGEJE_00055	CDS	1029	yjmD	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
MFECGEJE_00056	CDS	750	lutR		COG2186	HTH-type transcriptional regulator LutR
MFECGEJE_00057	CDS	1185	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
MFECGEJE_00058	CDS	714				hypothetical protein
MFECGEJE_00059	CDS	1830	uvrC		COG0322	UvrABC system protein C
MFECGEJE_00060	CDS	765	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
MFECGEJE_00061	CDS	999	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
MFECGEJE_00062	CDS	1764	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
MFECGEJE_00063	CDS	2367				hypothetical protein
MFECGEJE_00064	CDS	438	dksA		COG1734	RNA polymerase-binding transcription factor DksA
MFECGEJE_00065	CDS	1359	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
MFECGEJE_00066	CDS	483	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
MFECGEJE_00067	CDS	477	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
MFECGEJE_00068	CDS	1299				hypothetical protein
MFECGEJE_00069	CDS	1890	mutL		COG0323	DNA mismatch repair protein MutL
MFECGEJE_00070	CDS	936	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
MFECGEJE_00071	CDS	2946	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
MFECGEJE_00072	CDS	1677	recN		COG0497	DNA repair protein RecN
MFECGEJE_00073	CDS	858	nadK	2.7.1.23	COG0061	NAD kinase
MFECGEJE_00074	CDS	597	grpE		COG0576	Protein GrpE
MFECGEJE_00075	CDS	345			COG1708	putative protein
MFECGEJE_00076	CDS	441				putative protein
MFECGEJE_00077	CDS	2124	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
MFECGEJE_00078	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
MFECGEJE_00079	CDS	867				hypothetical protein
MFECGEJE_00080	CDS	1380	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
MFECGEJE_00081	CDS	510	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
MFECGEJE_00082	CDS	432				hypothetical protein
MFECGEJE_00083	CDS	789	yjjV_1	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
MFECGEJE_00084	CDS	267				hypothetical protein
MFECGEJE_00085	CDS	255				hypothetical protein
MFECGEJE_00086	CDS	324	trxA			Thioredoxin 1
MFECGEJE_00087	CDS	996	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
MFECGEJE_00088	CDS	1110	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
MFECGEJE_00089	tRNA	76				tRNA-Gly(gcc)
MFECGEJE_00090	tRNA	74				tRNA-Cys(gca)
MFECGEJE_00091	tRNA	87				tRNA-Leu(taa)
MFECGEJE_00092	tRNA	76				tRNA-Lys(ttt)
MFECGEJE_00093	CDS	1278	thrC	4.2.3.1	COG0498	Threonine synthase
MFECGEJE_00094	CDS	945	thrB	2.7.1.39		Homoserine kinase
MFECGEJE_00095	CDS	2448	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
MFECGEJE_00096	CDS	714			COG0325	Pyridoxal phosphate homeostasis protein
MFECGEJE_00097	CDS	1137	garK	2.7.1.165	COG1929	Glycerate 2-kinase
MFECGEJE_00098	CDS	1260	gntP		COG2610	High-affinity gluconate transporter
MFECGEJE_00099	CDS	1107	cdaR		COG3835	Carbohydrate diacid regulator
MFECGEJE_00100	CDS	321				hypothetical protein
MFECGEJE_00101	CDS	756	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MFECGEJE_00102	CDS	120				hypothetical protein
MFECGEJE_00103	CDS	576				hypothetical protein
MFECGEJE_00104	CDS	885	fbpA		COG1840	Iron-utilization periplasmic protein
MFECGEJE_00105	CDS	1521				hypothetical protein
MFECGEJE_00106	CDS	1071	fbpC2_1	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
MFECGEJE_00107	CDS	396				hypothetical protein
MFECGEJE_00108	CDS	1134	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
MFECGEJE_00109	CDS	345			COG1393	putative protein
MFECGEJE_00110	CDS	1881	htpG		COG0326	Chaperone protein HtpG
MFECGEJE_00111	CDS	756			COG0327	GTP cyclohydrolase 1 type 2 
MFECGEJE_00112	CDS	1389	ffh		COG0541	Signal recognition particle protein
MFECGEJE_00113	CDS	1263				hypothetical protein
MFECGEJE_00114	CDS	912				hypothetical protein
MFECGEJE_00115	CDS	342				hypothetical protein
MFECGEJE_00116	CDS	1290	serS	6.1.1.11	COG0172	Serine--tRNA ligase
MFECGEJE_00117	CDS	630	gst	2.5.1.18	COG0625	Glutathione S-transferase GST-4.5
MFECGEJE_00118	CDS	2235	tdhA		COG1629	TonB-dependent heme receptor A
MFECGEJE_00119	rRNA	110				5S ribosomal RNA
MFECGEJE_00120	rRNA	2897				23S ribosomal RNA
