locus_tag	ftype	length_bp	gene	EC_number	COG	product
	repeat_region	2694				
JAOMGKNI_00001	CDS	1953				hypothetical protein
JAOMGKNI_00002	CDS	1038		5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
JAOMGKNI_00003	CDS	1317				hypothetical protein
JAOMGKNI_00004	CDS	675	kynB	3.5.1.9	COG1878	Kynurenine formamidase
JAOMGKNI_00005	CDS	429				hypothetical protein
JAOMGKNI_00006	CDS	1824	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
JAOMGKNI_00007	CDS	381	hndB	1.12.1.3	COG3411	NADP-reducing hydrogenase subunit HndB
JAOMGKNI_00008	CDS	489	hndA_1	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
JAOMGKNI_00009	CDS	762				hypothetical protein
JAOMGKNI_00010	CDS	837				hypothetical protein
JAOMGKNI_00011	CDS	579	porC	1.2.7.1	COG1014	Pyruvate synthase subunit PorC
JAOMGKNI_00012	CDS	300	porD		COG1144	Pyruvate synthase subunit PorD
JAOMGKNI_00013	CDS	1179	porA	1.2.7.1	COG0674	Pyruvate synthase subunit PorA
JAOMGKNI_00014	CDS	975	porB	1.2.7.1	COG1013	Pyruvate synthase subunit PorB
JAOMGKNI_00015	CDS	771	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
JAOMGKNI_00016	CDS	384	crcB			Putative fluoride ion transporter CrcB
JAOMGKNI_00017	CDS	309				hypothetical protein
JAOMGKNI_00018	CDS	1533	mutL			DNA mismatch repair protein MutL
JAOMGKNI_00019	CDS	1971	mcp1_1		COG0840	Methyl-accepting chemotaxis protein 1
JAOMGKNI_00020	CDS	1926				hypothetical protein
JAOMGKNI_00021	CDS	2166	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
JAOMGKNI_00022	CDS	207				hypothetical protein
JAOMGKNI_00023	CDS	807	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
JAOMGKNI_00024	CDS	993	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
